Timestamp,What is your age? (Enter a whole number),What is your gender?,"How many times a day do you consume food? (snacks and meals or when you have a beverage without eating)
Enter a whole number","Do you feel more productive before, during, or after your meals?","Do you consume caffeine throughout the day? (including tea, matcha, energy drinks, coffee)",How well did you feel about your past performances in your academia?,"On a scale of 1-10 how would you rate your productivity 1 hour after eating? 
(Enter a whole number)",How much caffeine do you consume on average per day in mg? (Enter a whole number)
3/27/2024 13:23:43,18,Female,6,After,Yes,Good,7,150
3/27/2024 13:23:48,21,Female,6,After,Yes,Excellent,4,550
3/27/2024 13:24:45,20,Male,6,After,Yes,Good,8,500
3/27/2024 13:25:25,18,Female,4,After,Yes,Good,8,250
3/27/2024 13:27:42,18,Female,5,Before,No,Neutral,6,0
3/27/2024 13:49:50,20,Female,6,After,Yes,Good,7,400
3/27/2024 13:49:52,18,Female,6,During,No,Good,3,0
3/27/2024 13:49:52,17,Female,5,Before,No,Good,5,0
3/27/2024 13:51:20,18,Female,3,After,No,Good,7,0
3/27/2024 13:52:50,18,Female,5,Before,Yes,Neutral,9,500
3/27/2024 13:53:12,20,Male,2,Before,No,Good,4,0
3/27/2024 14:14:14,19,Male,5,After,Yes,Neutral,8,450
3/27/2024 14:31:20,19,Female,4,Before,Yes,Good,6,200
3/28/2024 7:50:02,20,Male,5,Before,Yes,Good,5,100
3/29/2024 12:23:41,18,Female,4,Before,Yes,Good,2,50
4/1/2024 8:41:29,19,Male,5,Before,No,Good,6,0
4/1/2024 8:47:50,18,Male,5,After,Yes,Good,8,200
4/1/2024 9:33:15,18,Female,6,After,Yes,Good,5,75
4/1/2024 9:48:51,18,Female,5,After,Yes,Neutral,6,200
4/1/2024 11:39:17,18,Female,4,After,No,Excellent,9,0
4/1/2024 16:41:28,22,Female,3,Before,Yes,Good,3,30
4/1/2024 17:31:52,18,Female,5,After,Yes,Good,9,400
4/3/2024 11:26:05,19,Male,2,Before,Yes,Good,1,50
4/6/2024 18:11:40,20,Male,6,Before,Yes,Neutral,5,100
4/6/2024 18:12:16,20,Female,4,After,No,Good,8,0
4/6/2024 18:12:39,18,Male,3,After,No,Good,6,0
4/6/2024 18:13:13,21,Male,4,During,Yes,Good,7,200
4/6/2024 18:15:22,18,Female,5,Before,Yes,Neutral,4,75
4/6/2024 18:15:46,19,Male,6,Before,Yes,Neutral,5,100
4/6/2024 18:16:13,20,Female,4,During,No,Neutral,8,0
4/6/2024 18:16:56,21,Female,7,After,Yes,Neutral,4,150
4/10/2024 12:36:19,19,Female,6,After,Yes,Good,6,350
4/10/2024 12:39:59,18,Female,6,After,Yes,Good,6,300
4/10/2024 12:57:51,19,Male,6,After,Yes,Good,5,250
4/10/2024 13:08:37,19,Male,6,After,No,Neutral,7,0
4/10/2024 13:38:15,18,Female,5,Before,Yes,Good,9,400
4/10/2024 13:39:37,18,Female,4,Before,Yes,Good,5,60
4/10/2024 13:41:09,18,Female,4,After,Yes,Bad,8,100
4/10/2024 15:55:30,21,Female,3,Before,Yes,Good,4,50
4/10/2024 17:08:59,19,Female,5,After,Yes,Good,8,250
4/11/2024 9:23:34,18,Female,5,Before,No,Good,6,0
4/11/2024 9:47:36,18,Female,4,After,No,Bad,3,0
4/11/2024 10:38:34,25,Male,10,After,Yes,Bad,9,450
4/11/2024 10:39:13,17,Male,3,Before,No,Bad,3,0
4/11/2024 10:50:42,18,Male,10,After,Yes,Neutral,6,250
4/11/2024 14:34:02,19,Female,4,After,No,Good,3,0
4/11/2024 15:08:33,18,Female,12,After,Yes,Neutral,8,600
4/11/2024 15:46:06,18,Female,6,After,Yes,Good,8,400
4/11/2024 15:49:45,18,Female,5,Before,No,Excellent,7,0
4/11/2024 15:50:03,19,Female,5,During,No,Excellent,7,0
